2020-02-1022:28:32.241 2020-02-1022:28:33.037 2020-02-1022:28:32.956 2020-02-1022:28:32.946 
2020-02-1022:29:33.038 2020-02-1022:29:33.076 2020-02-1022:29:33.067 2020-02-1022:29:33.067 
2020-02-1022:30:33.079 2020-02-1022:30:33.102 2020-02-1022:30:33.095 2020-02-1022:30:33.094 
2020-02-1022:31:33.103 2020-02-1022:31:33.125 2020-02-1022:31:33.119 2020-02-1022:31:33.119 
2020-02-1022:32:33.126 2020-02-1022:32:33.147 2020-02-1022:32:33.143 2020-02-1022:32:33.142 
2020-02-1022:33:33.148 2020-02-1022:33:33.18 2020-02-1022:33:33.175 2020-02-1022:33:33.175 
2020-02-1022:34:33.181 2020-02-1022:34:33.204 2020-02-1022:34:33.201 2020-02-1022:34:33.201 
2020-02-1022:35:33.205 2020-02-1022:35:33.234 2020-02-1022:35:33.228 2020-02-1022:35:33.228 
2020-02-1022:36:33.234 2020-02-1022:36:33.256 2020-02-1022:36:33.252 2020-02-1022:36:33.252 
2020-02-1022:37:33.257 2020-02-1022:37:33.276 2020-02-1022:37:33.272 2020-02-1022:37:33.272 
2020-02-1022:38:33.277 2020-02-1022:38:33.297 2020-02-1022:38:33.293 2020-02-1022:38:33.292 
2020-02-1022:39:33.298 2020-02-1022:39:33.318 2020-02-1022:39:33.315 2020-02-1022:39:33.315 
2020-02-1022:40:33.319 2020-02-1022:40:33.351 2020-02-1022:40:33.346 2020-02-1022:40:33.346 
2020-02-1022:41:33.352 2020-02-1022:41:33.368 2020-02-1022:41:33.364 2020-02-1022:41:33.364 
2020-02-1022:42:33.369 2020-02-1022:42:33.392 2020-02-1022:42:33.382 2020-02-1022:42:33.382 
2020-02-1022:43:33.393 2020-02-1022:43:33.427 2020-02-1022:43:33.422 2020-02-1022:43:33.422 
2020-02-1022:44:33.428 2020-02-1022:44:33.444 2020-02-1022:44:33.441 2020-02-1022:44:33.441 
2020-02-1022:45:33.445 2020-02-1022:45:33.465 2020-02-1022:45:33.461 2020-02-1022:45:33.461 
2020-02-1022:46:33.466 2020-02-1022:46:33.491 2020-02-1022:46:33.487 2020-02-1022:46:33.487 
2020-02-1022:47:33.491 2020-02-1022:47:33.508 2020-02-1022:47:33.504 2020-02-1022:47:33.504 
2020-02-1022:48:33.509 2020-02-1022:48:33.527 2020-02-1022:48:33.523 2020-02-1022:48:33.523 
2020-02-1022:49:33.528 2020-02-1022:49:33.554 2020-02-1022:49:33.546 2020-02-1022:49:33.546 
2020-02-1022:50:33.555 2020-02-1022:50:33.576 2020-02-1022:50:33.572 2020-02-1022:50:33.572 
2020-02-1022:51:33.577 2020-02-1022:51:33.601 2020-02-1022:51:33.597 2020-02-1022:51:33.596 
2020-02-1022:52:33.602 2020-02-1022:52:33.625 2020-02-1022:52:33.622 2020-02-1022:52:33.622 
2020-02-1022:53:33.626 2020-02-1022:53:33.651 2020-02-1022:53:33.645 2020-02-1022:53:33.645 
2020-02-1022:54:33.652 2020-02-1022:54:33.676 2020-02-1022:54:33.666 2020-02-1022:54:33.666 
2020-02-1022:55:33.676 2020-02-1022:55:33.699 2020-02-1022:55:33.694 2020-02-1022:55:33.694 
2020-02-1022:56:33.7 2020-02-1022:56:33.721 2020-02-1022:56:33.715 2020-02-1022:56:33.715 
2020-02-1022:57:33.722 2020-02-1022:57:33.763 2020-02-1022:57:33.737 2020-02-1022:57:33.737 
2020-02-1022:58:33.764 2020-02-1022:58:33.779 2020-02-1022:58:33.777 2020-02-1022:58:33.777 
2020-02-1022:59:33.78 2020-02-1022:59:33.81 2020-02-1022:59:33.799 2020-02-1022:59:33.799 
2020-02-1023:00:33.81 2020-02-1023:00:33.83 2020-02-1023:00:33.824 2020-02-1023:00:33.824 
2020-02-1023:01:33.83 2020-02-1023:01:33.854 2020-02-1023:01:33.85 2020-02-1023:01:33.85 
2020-02-1023:02:33.854 2020-02-1023:02:33.873 2020-02-1023:02:33.866 2020-02-1023:02:33.866 
2020-02-1023:03:33.873 2020-02-1023:03:33.896 2020-02-1023:03:33.893 2020-02-1023:03:33.893 
2020-02-1023:04:33.897 2020-02-1023:04:33.925 2020-02-1023:04:33.918 2020-02-1023:04:33.918 
2020-02-1023:05:33.926 2020-02-1023:05:33.951 2020-02-1023:05:33.944 2020-02-1023:05:33.944 
2020-02-1023:06:33.952 2020-02-1023:06:33.974 2020-02-1023:06:33.969 2020-02-1023:06:33.969 
2020-02-1023:07:33.974 2020-02-1023:07:34.009 2020-02-1023:07:34.006 2020-02-1023:07:34.006 
2020-02-1023:08:34.088 2020-02-1023:08:34.111 2020-02-1023:08:34.107 2020-02-1023:08:34.107 
2020-02-1023:09:34.112 2020-02-1023:09:34.138 2020-02-1023:09:34.132 2020-02-1023:09:34.132 
2020-02-1023:10:34.139 2020-02-1023:10:34.161 2020-02-1023:10:34.156 2020-02-1023:10:34.156 
2020-02-1023:11:34.162 2020-02-1023:11:34.185 2020-02-1023:11:34.182 2020-02-1023:11:34.182 
2020-02-1023:12:34.186 2020-02-1023:12:34.216 2020-02-1023:12:34.209 2020-02-1023:12:34.209 
2020-02-1023:13:34.217 2020-02-1023:13:34.238 2020-02-1023:13:34.228 2020-02-1023:13:34.228 
2020-02-1023:14:34.239 2020-02-1023:14:34.257 2020-02-1023:14:34.254 2020-02-1023:14:34.254 
2020-02-1023:15:34.258 2020-02-1023:15:34.319 2020-02-1023:15:34.31 2020-02-1023:15:34.309 
2020-02-1023:16:34.319 2020-02-1023:16:34.336 2020-02-1023:16:34.332 2020-02-1023:16:34.332 
2020-02-1023:17:34.337 2020-02-1023:17:34.356 2020-02-1023:17:34.353 2020-02-1023:17:34.353 
2020-02-1023:18:34.357 2020-02-1023:18:34.382 2020-02-1023:18:34.374 2020-02-1023:18:34.374 
2020-02-1023:19:34.383 2020-02-1023:19:34.413 2020-02-1023:19:34.41 2020-02-1023:19:34.409 
2020-02-1023:20:34.414 2020-02-1023:20:34.437 2020-02-1023:20:34.434 2020-02-1023:20:34.434 
2020-02-1023:21:34.437 2020-02-1023:21:34.46 2020-02-1023:21:34.454 2020-02-1023:21:34.454 
2020-02-1023:22:34.461 2020-02-1023:22:34.487 2020-02-1023:22:34.483 2020-02-1023:22:34.483 
2020-02-1023:23:34.488 2020-02-1023:23:34.508 2020-02-1023:23:34.504 2020-02-1023:23:34.504 
2020-02-1023:24:34.509 2020-02-1023:24:34.534 2020-02-1023:24:34.525 2020-02-1023:24:34.525 
2020-02-1023:25:34.535 2020-02-1023:25:34.553 2020-02-1023:25:34.55 2020-02-1023:25:34.55 
2020-02-1023:26:34.553 2020-02-1023:26:34.567 2020-02-1023:26:34.564 2020-02-1023:26:34.564 
2020-02-1023:27:34.568 2020-02-1023:27:34.597 2020-02-1023:27:34.592 2020-02-1023:27:34.592 
2020-02-1023:28:34.598 2020-02-1023:28:34.614 2020-02-1023:28:34.612 2020-02-1023:28:34.612 
2020-02-1023:29:34.615 2020-02-1023:29:34.637 2020-02-1023:29:34.634 2020-02-1023:29:34.634 
2020-02-1023:30:34.637 2020-02-1023:30:34.66 2020-02-1023:30:34.657 2020-02-1023:30:34.657 
2020-02-1023:31:34.66 2020-02-1023:31:34.686 2020-02-1023:31:34.679 2020-02-1023:31:34.679 
2020-02-1023:32:34.687 2020-02-1023:32:34.714 2020-02-1023:32:34.709 2020-02-1023:32:34.709 
2020-02-1023:33:34.715 2020-02-1023:33:34.732 2020-02-1023:33:34.729 2020-02-1023:33:34.729 
2020-02-1023:34:34.732 2020-02-1023:34:34.757 2020-02-1023:34:34.752 2020-02-1023:34:34.752 
2020-02-1023:35:34.758 2020-02-1023:35:34.783 2020-02-1023:35:34.779 2020-02-1023:35:34.779 
2020-02-1023:36:34.784 2020-02-1023:36:34.814 2020-02-1023:36:34.809 2020-02-1023:36:34.809 
2020-02-1023:37:34.814 2020-02-1023:37:34.831 2020-02-1023:37:34.825 2020-02-1023:37:34.825 
2020-02-1023:38:34.832 2020-02-1023:38:34.847 2020-02-1023:38:34.845 2020-02-1023:38:34.844 
2020-02-1023:39:34.847 2020-02-1023:39:34.87 2020-02-1023:39:34.867 2020-02-1023:39:34.867 
2020-02-1023:40:34.871 2020-02-1023:40:34.89 2020-02-1023:40:34.884 2020-02-1023:40:34.884 
2020-02-1023:41:34.89 2020-02-1023:41:34.909 2020-02-1023:41:34.905 2020-02-1023:41:34.905 
2020-02-1023:42:34.91 2020-02-1023:42:34.935 2020-02-1023:42:34.924 2020-02-1023:42:34.924 
2020-02-1023:43:34.936 2020-02-1023:43:34.955 2020-02-1023:43:34.953 2020-02-1023:43:34.953 
2020-02-1023:44:34.956 2020-02-1023:44:34.976 2020-02-1023:44:34.971 2020-02-1023:44:34.971 
2020-02-1023:45:34.976 2020-02-1023:45:34.999 2020-02-1023:45:34.992 2020-02-1023:45:34.992 
2020-02-1023:46:34.999 2020-02-1023:46:35.016 2020-02-1023:46:35.01 2020-02-1023:46:35.01 
2020-02-1023:47:35.017 2020-02-1023:47:35.038 2020-02-1023:47:35.028 2020-02-1023:47:35.028 
2020-02-1023:48:35.038 2020-02-1023:48:35.059 2020-02-1023:48:35.056 2020-02-1023:48:35.056 
2020-02-1023:49:35.06 2020-02-1023:49:35.082 2020-02-1023:49:35.073 2020-02-1023:49:35.073 
2020-02-1023:50:35.082 2020-02-1023:50:35.109 2020-02-1023:50:35.106 2020-02-1023:50:35.106 
2020-02-1023:51:35.11 2020-02-1023:51:35.147 2020-02-1023:51:35.143 2020-02-1023:51:35.141 
2020-02-1023:52:35.148 2020-02-1023:52:35.168 2020-02-1023:52:35.166 2020-02-1023:52:35.166 
2020-02-1023:53:35.169 2020-02-1023:53:35.207 2020-02-1023:53:35.193 2020-02-1023:53:35.193 
2020-02-1023:54:35.208 2020-02-1023:54:35.221 2020-02-1023:54:35.218 2020-02-1023:54:35.218 
