2020-02-1003:18:07.953 2020-02-1003:18:08.056 2020-02-1003:18:08.022 2020-02-1003:18:08.021 
2020-02-1003:19:08.108 2020-02-1003:19:08.11 2020-02-1003:19:08.109 2020-02-1003:19:08.109 
2020-02-1003:20:08.111 2020-02-1003:20:08.113 2020-02-1003:20:08.112 2020-02-1003:20:08.112 
2020-02-1003:21:08.115 2020-02-1003:21:08.117 2020-02-1003:21:08.116 2020-02-1003:21:08.116 
2020-02-1003:22:08.118 2020-02-1003:22:08.12 2020-02-1003:22:08.119 2020-02-1003:22:08.119 
2020-02-1003:23:08.122 2020-02-1003:23:08.124 2020-02-1003:23:08.123 2020-02-1003:23:08.123 
2020-02-1003:24:08.125 2020-02-1003:24:08.127 2020-02-1003:24:08.127 2020-02-1003:24:08.126 
2020-02-1003:25:08.129 2020-02-1003:25:08.132 2020-02-1003:25:08.13 2020-02-1003:25:08.13 
2020-02-1003:26:08.133 2020-02-1003:26:08.135 2020-02-1003:26:08.135 2020-02-1003:26:08.135 
2020-02-1003:27:08.137 2020-02-1003:27:08.139 2020-02-1003:27:08.138 2020-02-1003:27:08.138 
2020-02-1003:28:08.14 2020-02-1003:28:08.142 2020-02-1003:28:08.141 2020-02-1003:28:08.141 
2020-02-1003:29:08.146 2020-02-1003:29:08.148 2020-02-1003:29:08.147 2020-02-1003:29:08.147 
2020-02-1003:30:08.151 2020-02-1003:30:08.152 2020-02-1003:30:08.152 2020-02-1003:30:08.152 
2020-02-1003:31:08.154 2020-02-1003:31:08.156 2020-02-1003:31:08.155 2020-02-1003:31:08.155 
2020-02-1003:32:08.158 2020-02-1003:32:08.16 2020-02-1003:32:08.16 2020-02-1003:32:08.159 
2020-02-1003:33:08.162 2020-02-1003:33:08.164 2020-02-1003:33:08.164 2020-02-1003:33:08.164 
2020-02-1003:34:08.167 2020-02-1003:34:08.169 2020-02-1003:34:08.168 2020-02-1003:34:08.168 
2020-02-1003:35:08.17 2020-02-1003:35:08.172 2020-02-1003:35:08.171 2020-02-1003:35:08.171 
2020-02-1003:36:08.174 2020-02-1003:36:08.177 2020-02-1003:36:08.176 2020-02-1003:36:08.176 
2020-02-1003:37:08.179 2020-02-1003:37:08.181 2020-02-1003:37:08.18 2020-02-1003:37:08.18 
2020-02-1003:38:08.183 2020-02-1003:38:08.185 2020-02-1003:38:08.184 2020-02-1003:38:08.184 
2020-02-1003:39:08.187 2020-02-1003:39:08.189 2020-02-1003:39:08.188 2020-02-1003:39:08.188 
2020-02-1003:40:08.191 2020-02-1003:40:08.193 2020-02-1003:40:08.192 2020-02-1003:40:08.192 
2020-02-1003:41:08.195 2020-02-1003:41:08.197 2020-02-1003:41:08.196 2020-02-1003:41:08.196 
2020-02-1003:42:08.199 2020-02-1003:42:08.201 2020-02-1003:42:08.2 2020-02-1003:42:08.2 
2020-02-1003:43:08.203 2020-02-1003:43:08.205 2020-02-1003:43:08.205 2020-02-1003:43:08.205 
2020-02-1003:44:08.208 2020-02-1003:44:08.21 2020-02-1003:44:08.209 2020-02-1003:44:08.209 
2020-02-1003:45:08.211 2020-02-1003:45:08.213 2020-02-1003:45:08.212 2020-02-1003:45:08.212 
2020-02-1003:46:08.214 2020-02-1003:46:08.216 2020-02-1003:46:08.216 2020-02-1003:46:08.216 
2020-02-1003:47:08.218 2020-02-1003:47:08.22 2020-02-1003:47:08.219 2020-02-1003:47:08.219 
2020-02-1003:48:08.221 2020-02-1003:48:08.223 2020-02-1003:48:08.222 2020-02-1003:48:08.222 
2020-02-1003:49:08.225 2020-02-1003:49:08.227 2020-02-1003:49:08.226 2020-02-1003:49:08.226 
2020-02-1003:50:08.228 2020-02-1003:50:08.23 2020-02-1003:50:08.229 2020-02-1003:50:08.229 
2020-02-1003:51:08.231 2020-02-1003:51:08.233 2020-02-1003:51:08.232 2020-02-1003:51:08.232 
2020-02-1003:52:08.237 2020-02-1003:52:08.238 2020-02-1003:52:08.238 2020-02-1003:52:08.238 
2020-02-1003:53:08.24 2020-02-1003:53:08.242 2020-02-1003:53:08.241 2020-02-1003:53:08.241 
2020-02-1003:54:08.243 2020-02-1003:54:08.245 2020-02-1003:54:08.244 2020-02-1003:54:08.244 
2020-02-1003:55:08.247 2020-02-1003:55:08.249 2020-02-1003:55:08.248 2020-02-1003:55:08.248 
2020-02-1003:56:08.251 2020-02-1003:56:08.253 2020-02-1003:56:08.252 2020-02-1003:56:08.252 
2020-02-1003:57:08.255 2020-02-1003:57:08.257 2020-02-1003:57:08.256 2020-02-1003:57:08.256 
2020-02-1003:58:08.259 2020-02-1003:58:08.261 2020-02-1003:58:08.261 2020-02-1003:58:08.261 
2020-02-1003:59:08.263 2020-02-1003:59:08.265 2020-02-1003:59:08.264 2020-02-1003:59:08.264 
2020-02-1004:00:08.267 2020-02-1004:00:08.269 2020-02-1004:00:08.268 2020-02-1004:00:08.268 
2020-02-1004:01:08.271 2020-02-1004:01:08.273 2020-02-1004:01:08.272 2020-02-1004:01:08.272 
2020-02-1004:02:08.274 2020-02-1004:02:08.276 2020-02-1004:02:08.276 2020-02-1004:02:08.275 
2020-02-1004:03:08.278 2020-02-1004:03:08.279 2020-02-1004:03:08.279 2020-02-1004:03:08.279 
2020-02-1004:04:08.281 2020-02-1004:04:08.283 2020-02-1004:04:08.282 2020-02-1004:04:08.282 
2020-02-1004:05:08.285 2020-02-1004:05:08.287 2020-02-1004:05:08.286 2020-02-1004:05:08.286 
2020-02-1004:06:08.289 2020-02-1004:06:08.291 2020-02-1004:06:08.29 2020-02-1004:06:08.29 
2020-02-1004:07:08.294 2020-02-1004:07:08.296 2020-02-1004:07:08.296 2020-02-1004:07:08.295 
2020-02-1004:08:08.298 2020-02-1004:08:08.3 2020-02-1004:08:08.299 2020-02-1004:08:08.299 
2020-02-1004:09:08.301 2020-02-1004:09:08.303 2020-02-1004:09:08.302 2020-02-1004:09:08.302 
2020-02-1004:10:08.304 2020-02-1004:10:08.306 2020-02-1004:10:08.306 2020-02-1004:10:08.305 
2020-02-1004:11:08.308 2020-02-1004:11:08.31 2020-02-1004:11:08.309 2020-02-1004:11:08.309 
2020-02-1004:12:08.311 2020-02-1004:12:08.313 2020-02-1004:12:08.312 2020-02-1004:12:08.312 
2020-02-1004:13:08.314 2020-02-1004:13:08.316 2020-02-1004:13:08.315 2020-02-1004:13:08.315 
2020-02-1004:14:08.317 2020-02-1004:14:08.319 2020-02-1004:14:08.318 2020-02-1004:14:08.318 
2020-02-1004:15:08.32 2020-02-1004:15:08.322 2020-02-1004:15:08.321 2020-02-1004:15:08.321 
2020-02-1004:16:08.324 2020-02-1004:16:08.325 2020-02-1004:16:08.325 2020-02-1004:16:08.324 
2020-02-1004:17:08.327 2020-02-1004:17:08.328 2020-02-1004:17:08.328 2020-02-1004:17:08.328 
2020-02-1004:18:08.329 2020-02-1004:18:08.331 2020-02-1004:18:08.33 2020-02-1004:18:08.33 
2020-02-1004:19:08.333 2020-02-1004:19:08.335 2020-02-1004:19:08.334 2020-02-1004:19:08.334 
2020-02-1004:20:08.336 2020-02-1004:20:08.338 2020-02-1004:20:08.337 2020-02-1004:20:08.337 
2020-02-1004:21:08.339 2020-02-1004:21:08.343 2020-02-1004:21:08.341 2020-02-1004:21:08.341 
2020-02-1004:22:08.344 2020-02-1004:22:08.347 2020-02-1004:22:08.346 2020-02-1004:22:08.346 
2020-02-1004:23:08.348 2020-02-1004:23:08.35 2020-02-1004:23:08.349 2020-02-1004:23:08.349 
2020-02-1004:24:08.351 2020-02-1004:24:08.353 2020-02-1004:24:08.352 2020-02-1004:24:08.352 
2020-02-1004:25:08.358 2020-02-1004:25:08.36 2020-02-1004:25:08.359 2020-02-1004:25:08.359 
2020-02-1004:26:08.362 2020-02-1004:26:08.364 2020-02-1004:26:08.363 2020-02-1004:26:08.363 
2020-02-1004:27:08.365 2020-02-1004:27:08.366 2020-02-1004:27:08.366 2020-02-1004:27:08.366 
2020-02-1004:28:08.368 2020-02-1004:28:08.37 2020-02-1004:28:08.369 2020-02-1004:28:08.369 
2020-02-1004:29:08.371 2020-02-1004:29:08.373 2020-02-1004:29:08.373 2020-02-1004:29:08.372 
2020-02-1004:30:08.374 2020-02-1004:30:08.377 2020-02-1004:30:08.376 2020-02-1004:30:08.376 
2020-02-1004:31:08.378 2020-02-1004:31:08.38 2020-02-1004:31:08.379 2020-02-1004:31:08.379 
