2020-02-1020:25:20.564 2020-02-1020:25:20.68 2020-02-1020:25:20.623 2020-02-1020:25:20.623 
2020-02-1020:26:20.681 2020-02-1020:26:20.798 2020-02-1020:26:20.741 2020-02-1020:26:20.741 
2020-02-1020:27:20.799 2020-02-1020:27:20.913 2020-02-1020:27:20.856 2020-02-1020:27:20.856 
2020-02-1020:28:20.914 2020-02-1020:28:21.03 2020-02-1020:28:20.973 2020-02-1020:28:20.973 
2020-02-1020:29:21.031 2020-02-1020:29:21.145 2020-02-1020:29:21.088 2020-02-1020:29:21.088 
2020-02-1020:30:21.146 2020-02-1020:30:21.26 2020-02-1020:30:21.203 2020-02-1020:30:21.203 
2020-02-1020:31:21.261 2020-02-1020:31:21.375 2020-02-1020:31:21.318 2020-02-1020:31:21.318 
2020-02-1020:32:21.379 2020-02-1020:32:21.495 2020-02-1020:32:21.437 2020-02-1020:32:21.437 
2020-02-1020:33:21.496 2020-02-1020:33:21.61 2020-02-1020:33:21.553 2020-02-1020:33:21.553 
2020-02-1020:34:21.611 2020-02-1020:34:21.727 2020-02-1020:34:21.67 2020-02-1020:34:21.67 
2020-02-1020:35:21.728 2020-02-1020:35:21.845 2020-02-1020:35:21.788 2020-02-1020:35:21.788 
2020-02-1020:36:21.846 2020-02-1020:36:21.96 2020-02-1020:36:21.902 2020-02-1020:36:21.902 
2020-02-1020:37:21.961 2020-02-1020:37:22.078 2020-02-1020:37:22.021 2020-02-1020:37:22.02 
2020-02-1020:38:22.08 2020-02-1020:38:22.194 2020-02-1020:38:22.136 2020-02-1020:38:22.136 
2020-02-1020:39:22.195 2020-02-1020:39:22.308 2020-02-1020:39:22.251 2020-02-1020:39:22.251 
2020-02-1020:40:22.309 2020-02-1020:40:22.422 2020-02-1020:40:22.366 2020-02-1020:40:22.366 
2020-02-1020:41:22.423 2020-02-1020:41:22.537 2020-02-1020:41:22.48 2020-02-1020:41:22.48 
2020-02-1020:42:22.538 2020-02-1020:42:22.654 2020-02-1020:42:22.597 2020-02-1020:42:22.597 
2020-02-1020:43:22.658 2020-02-1020:43:22.774 2020-02-1020:43:22.717 2020-02-1020:43:22.717 
2020-02-1020:44:22.775 2020-02-1020:44:22.889 2020-02-1020:44:22.832 2020-02-1020:44:22.832 
2020-02-1020:45:22.89 2020-02-1020:45:23.004 2020-02-1020:45:22.947 2020-02-1020:45:22.947 
2020-02-1020:46:23.005 2020-02-1020:46:23.122 2020-02-1020:46:23.065 2020-02-1020:46:23.065 
2020-02-1020:47:23.124 2020-02-1020:47:23.237 2020-02-1020:47:23.18 2020-02-1020:47:23.18 
2020-02-1020:48:23.238 2020-02-1020:48:23.354 2020-02-1020:48:23.297 2020-02-1020:48:23.297 
2020-02-1020:49:23.355 2020-02-1020:49:23.471 2020-02-1020:49:23.414 2020-02-1020:49:23.414 
2020-02-1020:50:23.472 2020-02-1020:50:23.588 2020-02-1020:50:23.531 2020-02-1020:50:23.531 
2020-02-1020:51:23.589 2020-02-1020:51:23.705 2020-02-1020:51:23.648 2020-02-1020:51:23.648 
2020-02-1020:52:23.707 2020-02-1020:52:23.821 2020-02-1020:52:23.764 2020-02-1020:52:23.764 
2020-02-1020:53:23.822 2020-02-1020:53:23.936 2020-02-1020:53:23.879 2020-02-1020:53:23.879 
2020-02-1020:54:23.937 2020-02-1020:54:24.055 2020-02-1020:54:23.997 2020-02-1020:54:23.997 
2020-02-1020:55:24.056 2020-02-1020:55:24.169 2020-02-1020:55:24.112 2020-02-1020:55:24.112 
2020-02-1020:56:24.173 2020-02-1020:56:24.288 2020-02-1020:56:24.232 2020-02-1020:56:24.232 
2020-02-1020:57:24.289 2020-02-1020:57:24.402 2020-02-1020:57:24.345 2020-02-1020:57:24.345 
2020-02-1020:58:24.403 2020-02-1020:58:24.519 2020-02-1020:58:24.463 2020-02-1020:58:24.462 
2020-02-1020:59:24.52 2020-02-1020:59:24.635 2020-02-1020:59:24.579 2020-02-1020:59:24.579 
2020-02-1021:00:24.636 2020-02-1021:00:24.749 2020-02-1021:00:24.692 2020-02-1021:00:24.692 
2020-02-1021:01:24.75 2020-02-1021:01:24.863 2020-02-1021:01:24.807 2020-02-1021:01:24.807 
2020-02-1021:02:24.865 2020-02-1021:02:24.981 2020-02-1021:02:24.924 2020-02-1021:02:24.924 
2020-02-1021:03:24.982 2020-02-1021:03:25.099 2020-02-1021:03:25.041 2020-02-1021:03:25.041 
2020-02-1021:04:25.099 2020-02-1021:04:25.216 2020-02-1021:04:25.159 2020-02-1021:04:25.159 
2020-02-1021:05:25.217 2020-02-1021:05:25.333 2020-02-1021:05:25.276 2020-02-1021:05:25.276 
2020-02-1021:06:25.334 2020-02-1021:06:25.447 2020-02-1021:06:25.39 2020-02-1021:06:25.39 
2020-02-1021:07:25.448 2020-02-1021:07:25.561 2020-02-1021:07:25.505 2020-02-1021:07:25.505 
2020-02-1021:08:25.563 2020-02-1021:08:25.675 2020-02-1021:08:25.619 2020-02-1021:08:25.619 
2020-02-1021:09:25.676 2020-02-1021:09:25.79 2020-02-1021:09:25.733 2020-02-1021:09:25.733 
2020-02-1021:10:25.791 2020-02-1021:10:25.907 2020-02-1021:10:25.85 2020-02-1021:10:25.85 
2020-02-1021:11:25.913 2020-02-1021:11:26.026 2020-02-1021:11:25.969 2020-02-1021:11:25.969 
2020-02-1021:12:26.029 2020-02-1021:12:26.145 2020-02-1021:12:26.088 2020-02-1021:12:26.088 
2020-02-1021:13:26.146 2020-02-1021:13:26.262 2020-02-1021:13:26.202 2020-02-1021:13:26.202 
2020-02-1021:14:26.263 2020-02-1021:14:26.377 2020-02-1021:14:26.319 2020-02-1021:14:26.319 
2020-02-1021:15:26.378 2020-02-1021:15:26.492 2020-02-1021:15:26.435 2020-02-1021:15:26.435 
2020-02-1021:16:26.493 2020-02-1021:16:26.609 2020-02-1021:16:26.553 2020-02-1021:16:26.553 
2020-02-1021:17:26.61 2020-02-1021:17:26.723 2020-02-1021:17:26.667 2020-02-1021:17:26.666 
2020-02-1021:18:26.724 2020-02-1021:18:26.84 2020-02-1021:18:26.784 2020-02-1021:18:26.784 
2020-02-1021:19:26.841 2020-02-1021:19:26.956 2020-02-1021:19:26.9 2020-02-1021:19:26.9 
2020-02-1021:20:26.957 2020-02-1021:20:27.073 2020-02-1021:20:27.017 2020-02-1021:20:27.017 
2020-02-1021:21:27.078 2020-02-1021:21:27.192 2020-02-1021:21:27.134 2020-02-1021:21:27.134 
2020-02-1021:22:27.193 2020-02-1021:22:27.309 2020-02-1021:22:27.252 2020-02-1021:22:27.252 
2020-02-1021:23:27.31 2020-02-1021:23:27.423 2020-02-1021:23:27.366 2020-02-1021:23:27.366 
2020-02-1021:24:27.424 2020-02-1021:24:27.539 2020-02-1021:24:27.481 2020-02-1021:24:27.481 
2020-02-1021:25:27.54 2020-02-1021:25:27.653 2020-02-1021:25:27.596 2020-02-1021:25:27.596 
2020-02-1021:26:27.654 2020-02-1021:26:27.77 2020-02-1021:26:27.713 2020-02-1021:26:27.713 
2020-02-1021:27:27.772 2020-02-1021:27:27.886 2020-02-1021:27:27.829 2020-02-1021:27:27.829 
2020-02-1021:28:27.887 2020-02-1021:28:28.004 2020-02-1021:28:27.947 2020-02-1021:28:27.947 
