2020-02-1002:21:36.898 2020-02-1002:21:36.898 2020-02-1002:21:36.898 2020-02-1002:21:36.898 
2020-02-1002:22:36.9 2020-02-1002:22:36.901 2020-02-1002:22:36.9 2020-02-1002:22:36.9 
2020-02-1002:23:36.902 2020-02-1002:23:36.904 2020-02-1002:23:36.903 2020-02-1002:23:36.903 
2020-02-1002:24:36.905 2020-02-1002:24:36.906 2020-02-1002:24:36.906 2020-02-1002:24:36.905 
2020-02-1002:25:36.907 2020-02-1002:25:36.908 2020-02-1002:25:36.907 2020-02-1002:25:36.907 
2020-02-1002:26:36.91 2020-02-1002:26:36.912 2020-02-1002:26:36.91 2020-02-1002:26:36.91 
2020-02-1002:27:36.913 2020-02-1002:27:36.914 2020-02-1002:27:36.913 2020-02-1002:27:36.913 
2020-02-1002:28:36.916 2020-02-1002:28:36.919 2020-02-1002:28:36.916 2020-02-1002:28:36.916 
2020-02-1002:29:36.921 2020-02-1002:29:36.924 2020-02-1002:29:36.921 2020-02-1002:29:36.921 
2020-02-1002:30:36.925 2020-02-1002:30:36.926 2020-02-1002:30:36.925 2020-02-1002:30:36.925 
2020-02-1002:31:36.927 2020-02-1002:31:36.928 2020-02-1002:31:36.927 2020-02-1002:31:36.927 
2020-02-1002:32:36.929 2020-02-1002:32:36.933 2020-02-1002:32:36.93 2020-02-1002:32:36.929 
2020-02-1002:33:36.934 2020-02-1002:33:36.935 2020-02-1002:33:36.935 2020-02-1002:33:36.935 
2020-02-1002:34:36.937 2020-02-1002:34:36.937 2020-02-1002:34:36.937 2020-02-1002:34:36.937 
2020-02-1002:35:36.939 2020-02-1002:35:36.94 2020-02-1002:35:36.939 2020-02-1002:35:36.939 
2020-02-1002:36:36.941 2020-02-1002:36:36.942 2020-02-1002:36:36.941 2020-02-1002:36:36.941 
2020-02-1002:37:36.943 2020-02-1002:37:36.944 2020-02-1002:37:36.943 2020-02-1002:37:36.943 
2020-02-1002:38:36.945 2020-02-1002:38:36.946 2020-02-1002:38:36.945 2020-02-1002:38:36.945 
2020-02-1002:39:36.947 2020-02-1002:39:36.948 2020-02-1002:39:36.947 2020-02-1002:39:36.947 
2020-02-1002:40:36.949 2020-02-1002:40:36.951 2020-02-1002:40:36.95 2020-02-1002:40:36.95 
2020-02-1002:41:36.952 2020-02-1002:41:36.955 2020-02-1002:41:36.952 2020-02-1002:41:36.952 
2020-02-1002:42:36.958 2020-02-1002:42:36.96 2020-02-1002:42:36.959 2020-02-1002:42:36.958 
2020-02-1002:43:36.962 2020-02-1002:43:36.964 2020-02-1002:43:36.962 2020-02-1002:43:36.962 
2020-02-1002:44:36.966 2020-02-1002:44:36.968 2020-02-1002:44:36.966 2020-02-1002:44:36.966 
2020-02-1002:45:36.97 2020-02-1002:45:36.97 2020-02-1002:45:36.97 2020-02-1002:45:36.97 
2020-02-1002:46:36.972 2020-02-1002:46:36.977 2020-02-1002:46:36.972 2020-02-1002:46:36.972 
2020-02-1002:47:36.979 2020-02-1002:47:36.979 2020-02-1002:47:36.979 2020-02-1002:47:36.979 
2020-02-1002:48:36.981 2020-02-1002:48:36.982 2020-02-1002:48:36.981 2020-02-1002:48:36.981 
2020-02-1002:49:36.985 2020-02-1002:49:36.989 2020-02-1002:49:36.985 2020-02-1002:49:36.985 
2020-02-1002:50:36.992 2020-02-1002:50:36.997 2020-02-1002:50:36.992 2020-02-1002:50:36.992 
2020-02-1002:51:36.999 2020-02-1002:51:36.999 2020-02-1002:51:36.999 2020-02-1002:51:36.999 
2020-02-1002:52:37.003 2020-02-1002:52:37.004 2020-02-1002:52:37.003 2020-02-1002:52:37.003 
2020-02-1002:53:37.005 2020-02-1002:53:37.006 2020-02-1002:53:37.005 2020-02-1002:53:37.005 
2020-02-1002:54:37.007 2020-02-1002:54:37.008 2020-02-1002:54:37.008 2020-02-1002:54:37.008 
2020-02-1002:55:37.009 2020-02-1002:55:37.01 2020-02-1002:55:37.01 2020-02-1002:55:37.01 
2020-02-1002:56:37.011 2020-02-1002:56:37.013 2020-02-1002:56:37.012 2020-02-1002:56:37.012 
2020-02-1002:57:37.014 2020-02-1002:57:37.015 2020-02-1002:57:37.015 2020-02-1002:57:37.015 
2020-02-1002:58:37.017 2020-02-1002:58:37.018 2020-02-1002:58:37.017 2020-02-1002:58:37.017 
2020-02-1002:59:37.02 2020-02-1002:59:37.021 2020-02-1002:59:37.02 2020-02-1002:59:37.02 
2020-02-1003:00:37.022 2020-02-1003:00:37.024 2020-02-1003:00:37.022 2020-02-1003:00:37.022 
2020-02-1003:01:37.025 2020-02-1003:01:37.026 2020-02-1003:01:37.025 2020-02-1003:01:37.025 
2020-02-1003:02:37.027 2020-02-1003:02:37.028 2020-02-1003:02:37.027 2020-02-1003:02:37.027 
2020-02-1003:03:37.03 2020-02-1003:03:37.031 2020-02-1003:03:37.03 2020-02-1003:03:37.03 
2020-02-1003:04:37.033 2020-02-1003:04:37.036 2020-02-1003:04:37.033 2020-02-1003:04:37.033 
2020-02-1003:05:37.037 2020-02-1003:05:37.038 2020-02-1003:05:37.038 2020-02-1003:05:37.037 
2020-02-1003:06:37.039 2020-02-1003:06:37.04 2020-02-1003:06:37.04 2020-02-1003:06:37.04 
2020-02-1003:07:37.042 2020-02-1003:07:37.043 2020-02-1003:07:37.042 2020-02-1003:07:37.042 
2020-02-1003:08:37.045 2020-02-1003:08:37.046 2020-02-1003:08:37.046 2020-02-1003:08:37.046 
2020-02-1003:09:37.047 2020-02-1003:09:37.048 2020-02-1003:09:37.048 2020-02-1003:09:37.048 
2020-02-1003:10:37.05 2020-02-1003:10:37.05 2020-02-1003:10:37.05 2020-02-1003:10:37.05 
2020-02-1003:11:37.052 2020-02-1003:11:37.056 2020-02-1003:11:37.053 2020-02-1003:11:37.053 
2020-02-1003:12:37.057 2020-02-1003:12:37.058 2020-02-1003:12:37.057 2020-02-1003:12:37.057 
2020-02-1003:13:37.059 2020-02-1003:13:37.06 2020-02-1003:13:37.06 2020-02-1003:13:37.059 
2020-02-1003:14:37.063 2020-02-1003:14:37.064 2020-02-1003:14:37.063 2020-02-1003:14:37.063 
2020-02-1003:15:37.065 2020-02-1003:15:37.066 2020-02-1003:15:37.065 2020-02-1003:15:37.065 
2020-02-1003:16:37.067 2020-02-1003:16:37.068 2020-02-1003:16:37.067 2020-02-1003:16:37.067 
2020-02-1003:17:37.07 2020-02-1003:17:37.071 2020-02-1003:17:37.07 2020-02-1003:17:37.07 
2020-02-1003:18:37.078 2020-02-1003:18:37.079 2020-02-1003:18:37.078 2020-02-1003:18:37.078 
2020-02-1003:19:37.08 2020-02-1003:19:37.081 2020-02-1003:19:37.08 2020-02-1003:19:37.08 
2020-02-1003:20:37.082 2020-02-1003:20:37.082 2020-02-1003:20:37.082 2020-02-1003:20:37.082 
2020-02-1003:21:37.084 2020-02-1003:21:37.084 2020-02-1003:21:37.084 2020-02-1003:21:37.084 
2020-02-1003:22:37.086 2020-02-1003:22:37.086 2020-02-1003:22:37.086 2020-02-1003:22:37.086 
2020-02-1003:23:37.088 2020-02-1003:23:37.088 2020-02-1003:23:37.088 2020-02-1003:23:37.088 
2020-02-1003:24:37.09 2020-02-1003:24:37.093 2020-02-1003:24:37.09 2020-02-1003:24:37.09 
