2020-02-1023:29:53.242 2020-02-1023:29:53.6 2020-02-1023:29:53.535 2020-02-1023:29:53.535 
2020-02-1023:30:53.601 2020-02-1023:30:53.956 2020-02-1023:30:53.896 2020-02-1023:30:53.896 
2020-02-1023:31:53.956 2020-02-1023:31:54.304 2020-02-1023:31:54.246 2020-02-1023:31:54.245 
2020-02-1023:32:54.305 2020-02-1023:32:54.656 2020-02-1023:32:54.597 2020-02-1023:32:54.597 
2020-02-1023:33:54.656 2020-02-1023:33:55.008 2020-02-1023:33:54.949 2020-02-1023:33:54.949 
2020-02-1023:34:55.008 2020-02-1023:34:55.359 2020-02-1023:34:55.3 2020-02-1023:34:55.3 
2020-02-1023:35:55.359 2020-02-1023:35:55.72 2020-02-1023:35:55.661 2020-02-1023:35:55.661 
2020-02-1023:36:55.72 2020-02-1023:36:56.084 2020-02-1023:36:56.016 2020-02-1023:36:56.016 
2020-02-1023:37:56.084 2020-02-1023:37:56.453 2020-02-1023:37:56.391 2020-02-1023:37:56.391 
2020-02-1023:38:56.454 2020-02-1023:38:56.808 2020-02-1023:38:56.75 2020-02-1023:38:56.75 
2020-02-1023:39:56.809 2020-02-1023:39:57.168 2020-02-1023:39:57.106 2020-02-1023:39:57.106 
2020-02-1023:40:57.169 2020-02-1023:40:57.529 2020-02-1023:40:57.47 2020-02-1023:40:57.47 
2020-02-1023:41:57.529 2020-02-1023:41:57.893 2020-02-1023:41:57.831 2020-02-1023:41:57.83 
2020-02-1023:42:57.895 2020-02-1023:42:58.251 2020-02-1023:42:58.185 2020-02-1023:42:58.185 
2020-02-1023:43:58.252 2020-02-1023:43:58.599 2020-02-1023:43:58.541 2020-02-1023:43:58.541 
2020-02-1023:44:58.6 2020-02-1023:44:58.958 2020-02-1023:44:58.9 2020-02-1023:44:58.9 
2020-02-1023:45:58.959 2020-02-1023:45:59.309 2020-02-1023:45:59.248 2020-02-1023:45:59.248 
2020-02-1023:46:59.309 2020-02-1023:46:59.663 2020-02-1023:46:59.604 2020-02-1023:46:59.604 
2020-02-1023:47:59.664 2020-02-1023:48:00.016 2020-02-1023:47:59.957 2020-02-1023:47:59.957 
2020-02-1023:49:00.016 2020-02-1023:49:00.367 2020-02-1023:49:00.308 2020-02-1023:49:00.308 
2020-02-1023:50:00.368 2020-02-1023:50:00.723 2020-02-1023:50:00.662 2020-02-1023:50:00.662 
2020-02-1023:51:00.723 2020-02-1023:51:01.076 2020-02-1023:51:01.014 2020-02-1023:51:01.014 
2020-02-1023:52:01.077 2020-02-1023:52:01.435 2020-02-1023:52:01.374 2020-02-1023:52:01.374 
2020-02-1023:53:01.436 2020-02-1023:53:01.796 2020-02-1023:53:01.736 2020-02-1023:53:01.736 
2020-02-1023:54:01.796 2020-02-1023:54:02.155 2020-02-1023:54:02.097 2020-02-1023:54:02.097 
2020-02-1023:55:02.156 2020-02-1023:55:02.514 2020-02-1023:55:02.45 2020-02-1023:55:02.45 
2020-02-1023:56:02.515 2020-02-1023:56:02.878 2020-02-1023:56:02.819 2020-02-1023:56:02.819 
2020-02-1023:57:02.879 2020-02-1023:57:03.233 2020-02-1023:57:03.173 2020-02-1023:57:03.172 
2020-02-1023:58:03.234 2020-02-1023:58:03.595 2020-02-1023:58:03.536 2020-02-1023:58:03.536 
2020-02-1023:59:03.595 2020-02-1023:59:03.966 2020-02-1023:59:03.906 2020-02-1023:59:03.906 
2020-02-1100:00:03.967 2020-02-1100:00:04.324 2020-02-1100:00:04.266 2020-02-1100:00:04.266 
2020-02-1100:01:04.324 2020-02-1100:01:04.677 2020-02-1100:01:04.62 2020-02-1100:01:04.62 
2020-02-1100:02:04.678 2020-02-1100:02:05.033 2020-02-1100:02:04.975 2020-02-1100:02:04.975 
2020-02-1100:03:05.034 2020-02-1100:03:05.389 2020-02-1100:03:05.328 2020-02-1100:03:05.328 
2020-02-1100:04:05.389 2020-02-1100:04:05.737 2020-02-1100:04:05.679 2020-02-1100:04:05.679 
2020-02-1100:05:05.738 2020-02-1100:05:06.093 2020-02-1100:05:06.035 2020-02-1100:05:06.035 
2020-02-1100:06:06.094 2020-02-1100:06:06.449 2020-02-1100:06:06.392 2020-02-1100:06:06.392 
2020-02-1100:07:06.45 2020-02-1100:07:06.843 2020-02-1100:07:06.739 2020-02-1100:07:06.739 
2020-02-1100:08:06.843 2020-02-1100:08:07.202 2020-02-1100:08:07.144 2020-02-1100:08:07.144 
2020-02-1100:09:07.203 2020-02-1100:09:07.557 2020-02-1100:09:07.498 2020-02-1100:09:07.498 
2020-02-1100:10:07.558 2020-02-1100:10:07.91 2020-02-1100:10:07.848 2020-02-1100:10:07.848 
2020-02-1100:11:07.911 2020-02-1100:11:08.266 2020-02-1100:11:08.208 2020-02-1100:11:08.208 
2020-02-1100:12:08.267 2020-02-1100:12:08.614 2020-02-1100:12:08.556 2020-02-1100:12:08.556 
2020-02-1100:13:08.615 2020-02-1100:13:08.968 2020-02-1100:13:08.909 2020-02-1100:13:08.909 
2020-02-1100:14:08.969 2020-02-1100:14:09.324 2020-02-1100:14:09.266 2020-02-1100:14:09.266 
2020-02-1100:15:09.325 2020-02-1100:15:09.681 2020-02-1100:15:09.623 2020-02-1100:15:09.623 
2020-02-1100:16:09.682 2020-02-1100:16:10.037 2020-02-1100:16:09.975 2020-02-1100:16:09.975 
2020-02-1100:17:10.038 2020-02-1100:17:10.403 2020-02-1100:17:10.336 2020-02-1100:17:10.336 
2020-02-1100:18:10.404 2020-02-1100:18:10.754 2020-02-1100:18:10.696 2020-02-1100:18:10.696 
2020-02-1100:19:10.754 2020-02-1100:19:11.109 2020-02-1100:19:11.047 2020-02-1100:19:11.047 
2020-02-1100:20:11.11 2020-02-1100:20:11.476 2020-02-1100:20:11.411 2020-02-1100:20:11.411 
2020-02-1100:21:11.477 2020-02-1100:21:11.847 2020-02-1100:21:11.771 2020-02-1100:21:11.766 
